Restaurant_name,Location,Country_ID,Country,Latitude,Longitude,Awarded_since,Chef,Price_Range,Price_Lower,Price_Upper,Cuisine_Type,Comfortable_Level,Vegetarian,Outdoor_Dining,Specialty
Azabu Yukimura,"3F, Yuken Azabu.10, 1-5-5 Azabujuban, Minato-ku, Tokyo",JPN,Japan,35.657332,139.732921,2010,Jun Yukimura,297-378,297,378,Japanese,2,0,0,Not Available
Yamazaki,"1-18-9 Nunomachiminami, Toyama",JPN,Japan,36.6748758,137.2009615,2016,Koji Yamazaki,39-153,39,153,Japanese,3,0,0,Not Available
Taian,"1F, Yamamotomatsu Bldg, 1-21-2 Shimanouchi, Chuo-ku, Osaka",JPN,Japan,34.673377,135.507258,2011,Hitoshi Takahata,180,180,180,Japanese,2,0,0,Not Available
Sushi Yoshitake,"9F Brown Place, 7-8-13 Ginza, Chuo-ku, Tokyo",JPN,Japan,35.668908,139.76192,2012,Masahiro Yoshitake,342,342,342,Sushi,2,0,0,Not Available
Ueda,"2-20 Yahatahontori, Nakagawa-Ku, Nagoya",JPN,Japan,35.146705,136.880583,2019,Naoki Ueda,99-198,99,198,Sushi,1,0,0,Not Available
Sushi Sakai,"2F, LANE Round Bldg, 3-20 Nishinakasu, Chuo-ku, Fukuoka",JPN,Japan,33.590837,130.405567,2014,Daigo Sakai,270-297,270,297,Sushi,2,0,0,Not Available
Sushi Komada,"2 Chome-14-18 Kawasaki, Ise, Mie 516-0009, Japan",JPN,Japan,34.494619,136.715224,2019,Kenri Komada,180,180,180,Sushi,2,0,0,Not Available
Sushi Gyoten,"1-2-12 Hirao, Chuo-ku, Fukuoka",JPN,Japan,33.580324,130.401163,2014,Kenji Gyoten,225-261,225,261,Sushi,1,0,0,Not Available
Ryugin,"7F, Tokyo Midtown Hibiya, 1-1-2 Yurakucho, Chiyoda-ku, Tokyo",JPN,Japan,35.674066,139.759054,2012,Seiji Yamamoto,441,441,441,Japanese,4,0,0,Not Available
Quintessence,"1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo",JPN,Japan,35.623996,139.73309,2008,Shuzo Kishida,270,270,270,French,3,0,0,Not Available
Nakashima,"10-4 Higashihakushimacho, Naka-ku, Hiroshima",JPN,Japan,34.405611,132.464998,2013,Tetsuo Nakashima,97-146,97,146,Japanese,2,0,0,Not Available
Isshisoden Nakamura,"136 Matsushitacho, Nakagyo-ku, Kyoto",JPN,Japan,35.01037,135.765062,2011,Motokazu Nakamura,171-342,171,342,Japanese,3,0,0,Not Available
Mizai,"613 Maruyamacho, Higashiyama-ku, Kyoto",JPN,Japan,35.002976,135.782354,2014 & 2010–12,Hitoshi Ishihara,450,450,450,Japanese,2,0,0,Not Available
Makimura,"3-11-5 Minamioi, Shinagawa-ku, Tokyo",JPN,Japan,35.590846,139.735425,2015,Makimura Akio,225,225,225,Japanese,2,0,0,Not Available
Maeda,"570-118 Giommachi-minamigawa, Higashiyama-ku, Kyoto",JPN,Japan,35.001582,135.77416,2020,Yujiro Maeda,270,270,270,Japanese,2,0,0,Not Available
L'Osier,"7-5-5 Ginza, Chuo-ku, Tokyo",JPN,Japan,35.66966,139.761245,2019 & 2008–10,Olivier Chaignon,117-396,117,396,French,4,0,0,Not Available
Kohaku,"3-4 Kagurazaka, Shinjuku-ku, Tokyo",JPN,Japan,35.70074,139.740981,2016,Koji Koizumi,297,297,297,Japanese,2,0,0,Not Available
Kitcho Arashiyama Honten,"58 Sagatenryuji-susukinobabacho, Ukyo-ku, Kyoto",JPN,Japan,35.013642,135.674658,2010,Kunio Tokuoka,477-899,477,899,Japanese,5,0,0,Not Available
Kikunoi Honten,"459 Shimokawaracho, Higashiyama-ku, Kyoto",JPN,Japan,35.001483,135.782056,2010,Yoshihiro Murata,153-576,153,576,Japanese,5,0,0,Not Available
Kashiwaya,"2-5-18 Senriyamanishi, Suita",JPN,Japan,34.770323,135.501166,2011,Hideaki Matsuo,117-333,117,333,Japanese,3,0,0,Not Available
Kanda,"3-6-34 Motoazabu, Minato-ku, Tokyo",JPN,Japan,35.657048,139.728715,2008,Hiroyuki Kanda,333,333,333,Japanese,2,0,0,Not Available
Kadowaki,"2-7-2, Azabujuban, Minato-ku, Tokyo",JPN,Japan,35.655946,139.73361,2020,Toshiya Kadowaki,225-540,225,540,Japanese,2,0,0,Not Available
Joël Robuchon,"Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo",JPN,Japan,35.641934,139.714582,2008,Michael Michaelidis,189-468,189,468,French,5,0,0,Not Available
Kagurazaka Ishikawa,"5-37 Kagurazaka, Shinjuku-ku, Tokyo",JPN,Japan,35.701212,139.739443,2009,Hideki Ishikawa,324-441,324,441,Japanese,2,0,0,Not Available
Iida,"120-1 Fukunagacho, Nakagyo-ku, Kyoto",JPN,Japan,35.009802,135.764793,2018,Shinichi Iida,306-495,306,495,Japanese,2,0,0,Not Available
Hyotei,"35 Nanzenji-kusagawacho, Sakyo-ku, Kyoto",JPN,Japan,35.011424,135.786737,2010,Yoshihiro Takahashi,234-405,234,405,Japanese,3,0,0,Not Available
Hijikata,"3-11-26 Marunochi, Naka-Ku, Nagoya",JPN,Japan,35.176205,136.902869,2019,Shoji Hijikata,162-198,162,198,Japanese,2,0,0,Not Available
Hajime,"1F, i Place 1-9-11 Edobori, Nishi-ku, Osaka",JPN,Japan,34.688721,135.496058,2018 & 2010–12,Hajime Yoneda,351-477,351,477,Innovative,3,0,0,Not Available
Gion Sasaki,"566-27 Komatsucho, Higashiyama-ku, Kyoto",JPN,Japan,34.998911,135.774996,2020,Hiroshi Sasaki,72-261,72,261,Japanese,2,0,0,Not Available
Le Clos des Sens,"13 rue Jean-Mermoz - à Annecy-le-Vieux, Annecy, 74940, France",FRA,France,45.917819,6.144412,2019,Laurent Petit,138-227,138,227,Creative,3,1,1,". L'écrevisse du lac d'Annecy et l'envolée de champignons
. Omble chevalier sauvage et soupe de poutargue lacustre
. Chicorée maison évanescente"
Maison Lameloise,"36 place d'Armes, Chagny, 71150, France",FRA,France,46.907877,4.752989,2007,Éric Pras,92-254,92,254,Modern Cuisine,3,0,0,". Langoustines marinées croustillantes au riz soufflé, céleri et pomme verte, crème à la moutarde et caviar
. Homard bleu dans l'esprit d'un bourguignon, queue rôtie et sauce civet
. Onctueux chocolat Équateur, crème glacée à la fève de cacao"
Le 1947,"Le Jardin Alpin, Courchevel 1850, 73120, France",FRA,France,45.411413,6.631677,2017,Yannick Alléno and Gérard Barbin,292-427,292,427,Creative,4,0,0,". Une ballade en sous-bois
. Bœuf Wagyu cuit au feu de bois, pommes de terre au barbot à la moelle et condimentées au cumin
. Fuseau croustillant à la truffe noire et fleur de sel"
Les Prés d'Eugénie - Michel Guérard,"Place de l'Impératrice, Eugénie-les-Bains, 40320, France",FRA,France,43.696701,-0.380192,1977,Michel Guérard,150-281,150,281,Classic Cuisine,5,0,1,". Caviar glacé à la russe, brioche d'agrumes et velouté soyeux
. Canard laqué ""Vasco de Gama"" et soufflé d'oranges aux cacahouètes
. Feuilleté croquant au chocolat salé-poivré, sabayon d'endive caramélisée"
L'Auberge du Vieux Puits,"5 avenue St-Victor, Fontjoncouse, 11360, France",FRA,France,43.048529,2.788784,2010,Gilles Goujon,146-243,146,243,Creative,3,0,0,". Œuf de poule pourri de truffes, briochine tiède et cappuccino à boire
. Rouget barbet, pomme bonne bouche fourrée d'une brandade en ""bullinada""
. Citron de Menton cassant, sorbet citrus bergamote et kumquat, crème thym citron"
Christopher Coutanceau,"plage de la Concurrence, La Rochelle, 17000, France",FRA,France,46.155331,-1.160033,2020,Christopher Coutanceau,81-249,81,249,Seafood,4,0,0,". Langoustines de la Cotinière en tartare, gelée de pinces
. Sardines de la tête à la queue, glace au bouffi
. Variation de l'Estran"
Christophe Bacquié,"3001 route des Hauts-du-Camp, Le Castellet, 83330, France",FRA,France,43.250003,5.783332,2018,Christophe Bacquié,162-292,162,292,Modern Cuisine,4,0,0,". Aïoli moderne, légumes de nos maraîchers et poulpe de Méditerranée
. Retour de pêche grillé, pois chiche de Rougiers, coquillages et jus de salicorne
. Pamplemousse et eau à la baie des Batak"
